MUKEY,musym,muname,areasymbol,areaname,Corn Yield(bu/Ha),Soybean Yield(bu/Ha),Wheat Yield(bu/Ha),Crop Rotations,Removal Rate,Code,Slope(%),SlopeLength(m),T_factor,K_factor,Sand(%),Silt(%),Clay(%),Organic matter(%),Rainfall_Erosivity,Soil erosion,SCI,Organic Matter factor,Field Operation factor,Soil erosion factor,,,,,,,
168539,BgB,"Bennington silt loam, 2 to 6 percent slopes",OH033,"Crawford County, Ohio",420,130,170,CSW,0.35,BgB,4,46,5,0.37,26.5,53.5,20,3,110,3.86,0.438,0.00439,0.93,0.322,0,,,,,,
168539,BgB,"Bennington silt loam, 2 to 6 percent slopes",OH033,"Crawford County, Ohio",420,130,170,CSW,0.52,BgB,4,46,5,0.37,26.5,53.5,20,3,110,4.56,0.377,-0.0833,0.927,0.199,0,,,,,,
168539,BgB,"Bennington silt loam, 2 to 6 percent slopes",OH033,"Crawford County, Ohio",420,130,170,CSW,0.83,BgB,4,46,5,0.37,26.5,53.5,20,3,110,7.11,0.171,-0.375,0.926,-0.248,0,,,,,,
168539,BgB,"Bennington silt loam, 2 to 6 percent slopes",OH033,"Crawford County, Ohio",450,140,,CS,0.00,BgB,4,46,5,0.37,26.5,53.5,20,3,110,1.28,0.688,0.371,0.962,0.774,0,,,,,,
168539,BgB,"Bennington silt loam, 2 to 6 percent slopes",OH033,"Crawford County, Ohio",450,140,,CS,0.20,BgB,4,46,5,0.37,26.5,53.5,20,3,110,1.71,0.594,0.175,0.962,0.696,0,,,,,,
168539,BgB,"Bennington silt loam, 2 to 6 percent slopes",OH033,"Crawford County, Ohio",450,140,,CS,0.35,BgB,4,46,5,0.37,26.5,53.5,20,3,110,2,0.534,0.0506,0.961,0.6468,0,,,,,,
168539,BgB,"Bennington silt loam, 2 to 6 percent slopes",OH033,"Crawford County, Ohio",450,140,,CS,0.52,BgB,4,46,5,0.37,26.5,53.5,20,3,110,3.15,0.439,-0.0803,0.956,0.4436,0,,,,,,
168539,BgB,"Bennington silt loam, 2 to 6 percent slopes",OH033,"Crawford County, Ohio",450,140,,CS,0.83,BgB,4,46,5,0.37,26.5,53.5,20,3,110,4.38,0.29,-0.346,0.955,0.232,0,,,,,,
168539,BgB,"Bennington silt loam, 2 to 6 percent slopes",OH033,"Crawford County, Ohio",450,140,180,CSW,0.00,BgB,4,46,5,0.37,26.5,53.5,20,3,110,0.587,0.819,0.64,0.959,0.897,0,,,,,,
168539,BgB,"Bennington silt loam, 2 to 6 percent slopes",OH033,"Crawford County, Ohio",450,140,180,CSW,0.20,BgB,4,46,5,0.37,26.5,53.5,20,3,110,3.03,0.539,0.179,0.934,0.469,0,,,,,,
168539,BgB,"Bennington silt loam, 2 to 6 percent slopes",OH033,"Crawford County, Ohio",450,140,180,CSW,0.35,BgB,4,46,5,0.37,26.5,53.5,20,3,110,3.6,0.469,0.0576,0.93,0.3698,0,,,,,,
168539,BgB,"Bennington silt loam, 2 to 6 percent slopes",OH033,"Crawford County, Ohio",450,140,180,CSW,0.52,BgB,4,46,5,0.37,26.5,53.5,20,3,110,4.27,0.406,-0.0357,0.927,0.2474,0,,,,,,
168539,BgB,"Bennington silt loam, 2 to 6 percent slopes",OH033,"Crawford County, Ohio",450,140,180,CSW,0.83,BgB,4,46,5,0.37,26.5,53.5,20,3,110,6.76,0.195,-0.346,0.926,-0.185,0,,,,,,
168539,BgB,"Bennington silt loam, 2 to 6 percent slopes",OH033,"Crawford County, Ohio",330,110,,CS,0.00,BgB,4,46,5,0.37,26.5,53.5,20,3,110,2.1,0.537,0.0657,0.962,0.6296,0,,,,,,
168539,BgB,"Bennington silt loam, 2 to 6 percent slopes",OH033,"Crawford County, Ohio",330,110,,CS,0.20,BgB,4,46,5,0.37,26.5,53.5,20,3,110,2.69,0.458,-0.0809,0.962,0.5278,0,,,,,,
168539,BgB,"Bennington silt loam, 2 to 6 percent slopes",OH033,"Crawford County, Ohio",330,110,,CS,0.35,BgB,4,46,5,0.37,26.5,53.5,20,3,110,3.05,0.408,-0.174,0.961,0.466,0,,,,,,
168539,BgB,"Bennington silt loam, 2 to 6 percent slopes",OH033,"Crawford County, Ohio",330,110,,CS,0.52,BgB,4,46,5,0.37,26.5,53.5,20,3,110,4.38,0.32,-0.272,0.956,0.232,0,,,,,,
168539,BgB,"Bennington silt loam, 2 to 6 percent slopes",OH033,"Crawford County, Ohio",330,110,,CS,0.83,BgB,4,46,5,0.37,26.5,53.5,20,3,110,5.64,0.196,-0.47,0.955,0.01,0,,,,,,
168539,BgB,"Bennington silt loam, 2 to 6 percent slopes",OH033,"Crawford County, Ohio",330,110,160,CSW,0.00,BgB,4,46,5,0.37,26.5,53.5,20,3,110,0.883,0.702,0.375,0.959,0.842,0,,,,,,
168539,BgB,"Bennington silt loam, 2 to 6 percent slopes",OH033,"Crawford County, Ohio",330,110,160,CSW,0.20,BgB,4,46,5,0.37,26.5,53.5,20,3,110,3.81,0.433,-0.0161,0.934,0.3292,0,,,,,,
168539,BgB,"Bennington silt loam, 2 to 6 percent slopes",OH033,"Crawford County, Ohio",330,110,160,CSW,0.35,BgB,4,46,5,0.37,26.5,53.5,20,3,110,4.44,0.371,-0.113,0.93,0.221,0,,,,,,
168539,BgB,"Bennington silt loam, 2 to 6 percent slopes",OH033,"Crawford County, Ohio",330,110,160,CSW,0.52,BgB,4,46,5,0.37,26.5,53.5,20,3,110,5.19,0.314,-0.186,0.927,0.088,0,,,,,,
168539,BgB,"Bennington silt loam, 2 to 6 percent slopes",OH033,"Crawford County, Ohio",330,110,160,CSW,0.83,BgB,4,46,5,0.37,26.5,53.5,20,3,110,7.84,0.12,-0.438,0.926,-0.376,0,,,,,,
167957,BgB,"Bennington silt loam, 2 to 6 percent slopes",OH077,"Huron County, Ohio",390,120,,CS,0.00,BgB,4,49,5,0.37,26.5,53.5,20,3,105,1.51,0.618,0.217,0.962,0.732,0,,,,,,
167957,BgB,"Bennington silt loam, 2 to 6 percent slopes",OH077,"Huron County, Ohio",390,120,,CS,0.20,BgB,4,49,5,0.37,26.5,53.5,20,3,105,1.98,0.533,0.0438,0.962,0.6534,0,,,,,,
167957,BgB,"Bennington silt loam, 2 to 6 percent slopes",OH077,"Huron County, Ohio",390,120,,CS,0.35,BgB,4,49,5,0.37,26.5,53.5,20,3,105,2.29,0.478,-0.0655,0.961,0.599,0,,,,,,
167957,BgB,"Bennington silt loam, 2 to 6 percent slopes",OH077,"Huron County, Ohio",390,120,,CS,0.52,BgB,4,49,5,0.37,26.5,53.5,20,3,105,3.44,0.389,-0.181,0.956,0.395,0,,,,,,
167957,BgB,"Bennington silt loam, 2 to 6 percent slopes",OH077,"Huron County, Ohio",390,120,,CS,0.83,BgB,4,49,5,0.37,26.5,53.5,20,3,105,4.6,0.255,-0.415,0.955,0.195,0,,,,,,
167957,BgB,"Bennington silt loam, 2 to 6 percent slopes",OH077,"Huron County, Ohio",390,120,150,CSW,0.00,BgB,4,49,5,0.37,26.5,53.5,20,3,105,0.721,0.74,0.453,0.959,0.876,0,,,,,,
167957,BgB,"Bennington silt loam, 2 to 6 percent slopes",OH077,"Huron County, Ohio",390,120,150,CSW,0.20,BgB,4,49,5,0.37,26.5,53.5,20,3,105,3.36,0.475,0.0494,0.934,0.4082,0,,,,,,
167957,BgB,"Bennington silt loam, 2 to 6 percent slopes",OH077,"Huron County, Ohio",390,120,150,CSW,0.35,BgB,4,49,5,0.37,26.5,53.5,20,3,105,3.94,0.411,-0.0566,0.93,0.3082,0,,,,,,
167957,BgB,"Bennington silt loam, 2 to 6 percent slopes",OH077,"Huron County, Ohio",390,120,150,CSW,0.52,BgB,4,49,5,0.37,26.5,53.5,20,3,105,4.6,0.354,-0.139,0.927,0.194,0,,,,,,
167957,BgB,"Bennington silt loam, 2 to 6 percent slopes",OH077,"Huron County, Ohio",390,120,150,CSW,0.83,BgB,4,49,5,0.37,26.5,53.5,20,3,105,7,0.161,-0.408,0.926,-0.231,0,,,,,,
169595,BgB,"Bennington silt loam, 2 to 6 percent slopes",OH175,"Wyandot County, Ohio",390,120,,CS,0.00,BgB,4,46,5,0.37,26.5,53.5,20,3,115,1.49,0.618,0.214,0.962,0.738,0,,,,,,
